UID,Taxonomy ID,Species Key,Phylum,Order,Family,Genus,Species,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
1492243987,4540,2705090,Tracheophyta,Poales,Poaceae,Panicum,Panicum miliaceum,9.116,8.332,31.921,666.247,21.767,-4.792,26.559,12.935,4.846,17.435,1.124,733.468,88.759,38.318,27.491,246.915,128.346,207.523,166.38
1492261596,4540,2705090,Tracheophyta,Poales,Poaceae,Panicum,Panicum miliaceum,9.116,8.332,31.921,666.247,21.767,-4.792,26.559,12.935,4.846,17.435,1.124,733.468,88.759,38.318,27.491,246.915,128.346,207.523,166.38
1492256718,4540,2705090,Tracheophyta,Poales,Poaceae,Panicum,Panicum miliaceum,9.116,8.332,31.921,666.247,21.767,-4.792,26.559,12.935,4.846,17.435,1.124,733.468,88.759,38.318,27.491,246.915,128.346,207.523,166.38
1492252893,4540,2705090,Tracheophyta,Poales,Poaceae,Panicum,Panicum miliaceum,9.116,8.332,31.921,666.247,21.767,-4.792,26.559,12.935,4.846,17.435,1.124,733.468,88.759,38.318,27.491,246.915,128.346,207.523,166.38
1648102282,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
1648102274,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
1648102273,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
1648102271,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
1624688005,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
1566511636,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
1566511635,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
1566511634,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
1566511633,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
1498802537,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
1498802536,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
1402403316,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
1402403315,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
1402403312,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
1402403310,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
1177647480,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
1177647479,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
21616922,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
21616920,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
21616918,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
21616916,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
21616914,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
21616912,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
21616910,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
21616908,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
90969896,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
62732758,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
62732756,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
62732752,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
50399954,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
50399953,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
22795246,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
2792248,39947,2703459,Tracheophyta,Poales,Poaceae,Oryza,Oryza sativa,23.161,9.821,57.37,312.728,32.079,13.2,18.879,24.834,20.263,26.647,19.024,1805.989,357.987,26.249,83.92,932.243,102.128,559.676,276.525
